name ,size ,type ,tags,alignment ,challenge ,xp,source 
Cat,Tiny,Beast,,Unaligned,0,10,mm 320
Commoner,Medium,Humanoid,,Any,0,10,mm 344
Hyena,Medium,Beast,,Unaligned,0,10,mm 331
Jackal,Small,Beast,,Unaligned,0,10,mm 331
Scorpion,Tiny,Beast,,Unaligned,0,10,mm 337
Vulture,Medium,Beast,,Unaligned,0,10,mm 339
Bandit,Medium,Humanoid,,Any non-lawful,1/8,25,mm 343
Camel,Large,Beast,,Unaligned,1/8,25,mm 320
Flying Snake,Tiny,Beast,,Unaligned,1/8,25,mm 322
Guard,Medium,Humanoid,,,1/8,25,mm 347
Kobold,Small,Humanoid,kobold,LE,1/8,25,mm 195
Mule,Medium,Beast,,Unaligned,1/8,25,mm 333
Poisonous Snake,Tiny,Beast,,Unaligned,1/8,25,mm 334
Stirge,Tiny,Beast,,Unaligned,1/8,25,mm 284
Tribal Warrior,Medium,Humanoid,,,1/8,25,mm 350
Young Kruthik,Small,Monstrosity,,Unaligned,1/8,25,mtf 211
Constrictor Snake,Large,Beast,,Unaligned,1/4,50,mm 320
Giant Lizard,Large,Beast,,Unaligned,1/4,50,mm 326
Giant Poisonous Snake,Medium,Beast,,Unaligned,1/4,50,mm 327
Giant Wolf Spider,Medium,Beast,,Unaligned,1/4,50,mm 330
Pseudodragon,Tiny,Dragon,,NG,1/4,50,mm 254
Winged Kobold,Small,Humanoid,kobold,LE,1/4,50,mm 195
Dust Mephit,Small,Elemental,,NE,1/2,100,mm 215
Firenewt Warrior,Medium,Humanoid,firenewt,NE,1/2,100,vgm 142
Gnoll,Medium,Humanoid,gnoll,CE,1/2,100,mm 163
Hobgoblin,Medium,Humanoid,goblinoid,LE,1/2,100,mm 186
Jackalwere,Medium,Humanoid,shapechanger,CE,1/2,100,mm 193
Scout,Medium,Humanoid,,,1/2,100,mm 349
Swarm of Insects,Medium,Beast,,Unaligned,1/2,100,mm 338
