name ,size ,type ,tags,alignment ,challenge ,xp,source
Awakened Shrub,Small,Plant,,Unaligned,0,10,mm 317
Baboon,Small,Beast,,Unaligned,0,10,mm 318
Badger,Tiny,Beast,,Unaligned,0,10,mm 318
Cat,Tiny,Beast,,Unaligned,0,10,mm 320
Commoner,Medium,Humanoid,,Any,0,10,mm 344
Deer,Medium,Beast,,Unaligned,0,10,mm 321
Hyena,Medium,Beast,,Unaligned,0,10,mm 331
Owl,Tiny,Beast,,Unaligned,0,10,mm 333
Bandit,Medium,Humanoid,,Any non-lawful,1/8,25,mm 343
Blood Hawk,Small,Beast,,Unaligned,1/8,25,mm 319
Boggle,Small,Fey,,CN,1/8,25,vgm 128
Flying Snake,Tiny,Beast,,Unaligned,1/8,25,mm 322
Giant Rat,Small,Beast,,Unaligned,1/8,25,mm 327
Giant Weasel,Medium,Beast,,Unaligned,1/8,25,mm 329
Guard,Medium,Humanoid,,,1/8,25,mm 347
Kobold,Small,Humanoid,kobold,LE,1/8,25,mm 195
Mastiff,Medium,Beast,,Unaligned,1/8,25,mm 332
Poisonous Snake,Tiny,Beast,,Unaligned,1/8,25,mm 334
Stirge,Tiny,Beast,,Unaligned,1/8,25,mm 284
Tribal Warrior,Medium,Humanoid,,,1/8,25,mm 350
Twig Blight,Small,Plant,,NE,1/8,25,mm 32
Blink Dog,Medium,Fey,,LG,1/4,50,mm 318
Boar,Medium,Beast,,Unaligned,1/4,50,mm 319
Constrictor Snake,Large,Beast,,Unaligned,1/4,50,mm 320
Elk,Large,Beast,,Unaligned,1/4,50,mm 322
Giant Badger,Medium,Beast,,Unaligned,1/4,50,mm 323
Giant Bat,Large,Beast,,Unaligned,1/4,50,mm 323
Giant Frog,Medium,Beast,,Unaligned,1/4,50,mm 325
Giant Lizard,Large,Beast,,Unaligned,1/4,50,mm 326
Giant Owl,Large,Beast,,N,1/4,50,mm 327
Giant Poisonous Snake,Medium,Beast,,Unaligned,1/4,50,mm 327
Giant Wolf Spider,Medium,Beast,,Unaligned,1/4,50,mm 330
Gnoll Witherling,Medium,Undead,,CE,1/4,50,vgm 155
Goblin,Small,Humanoid,goblinoid,NE,1/4,50,mm 166
Grung,Small,Humanoid,grung,LE,1/4,50,vgm 156
Kenku,Medium,Humanoid,kenku,CN,1/4,50,mm 194
Kobold Inventor,Small,Humanoid,kobold,LE,1/4,50,vgm 166
Needle Blight,Medium,Plant,,NE,1/4,50,mm 32
Panther,Medium,Beast,,Unaligned,1/4,50,mm 333
Pixie,Tiny,Fey,,NG,1/4,50,mm 253
Pseudodragon,Tiny,Dragon,,NG,1/4,50,mm 254
Sprite,Tiny,Fey,,NG,1/4,50,mm 283
Swarm of Ravens,Medium,Beast,,Unaligned,1/4,50,mm 339
Vegepygmy,Small,Plant,,N,1/4,50,vgm 196
Velociraptor,Tiny,Beast,,Unaligned,1/4,50,vgm 140
Winged Kobold,Small,Humanoid,kobold,LE,1/4,50,mm 195
Wolf,Medium,Beast,,Unaligned,1/4,50,mm 341
Ape,Medium,Beast,,Unaligned,1/2,100,mm 317
Black Bear,Medium,Beast,,Unaligned,1/2,100,mm 318
Darkling,Small,Fey,,CN,1/2,100,vgm 134
Giant Wasp,Medium,Beast,,Unaligned,1/2,100,mm 329
