name ,size ,type ,tags,alignment ,challenge ,xp,source 
Cat,Tiny,Beast,,Unaligned,0,10,mm 320
Commoner,Medium,Humanoid,,Any,0,10,mm 344
Deer,Medium,Beast,,Unaligned,0,10,mm 321
Eagle,Small,Beast,,Unaligned,0,10,mm 322
Goat,Medium,Beast,,Unaligned,0,10,mm 330
Hyena,Medium,Beast,,Unaligned,0,10,mm 331
Jackal,Small,Beast,,Unaligned,0,10,mm 331
Vulture,Medium,Beast,,Unaligned,0,10,mm 339
Blood Hawk,Small,Beast,,Unaligned,1/8,25,mm 319
Flying Snake,Tiny,Beast,,Unaligned,1/8,25,mm 322
Giant Weasel,Medium,Beast,,Unaligned,1/8,25,mm 329
Guard,Medium,Humanoid,,,1/8,25,mm 347
Poisonous Snake,Tiny,Beast,,Unaligned,1/8,25,mm 334
Stirge,Tiny,Beast,,Unaligned,1/8,25,mm 284
Tribal Warrior,Medium,Humanoid,,,1/8,25,mm 350
Axe Beak,Large,Beast,,Unaligned,1/4,50,mm 317
Boar,Medium,Beast,,Unaligned,1/4,50,mm 319
Elk,Large,Beast,,Unaligned,1/4,50,mm 322
Giant Poisonous Snake,Medium,Beast,,Unaligned,1/4,50,mm 327
Giant Wolf Spider,Medium,Beast,,Unaligned,1/4,50,mm 330
Gnoll Witherling,Medium,Undead,,CE,1/4,50,vgm 155
Goblin,Small,Humanoid,goblinoid,NE,1/4,50,mm 166
Hadrosaurus,Large,Beast,,Unaligned,1/4,50,vgm 140
Panther,Medium,Beast,,Unaligned,1/4,50,mm 333
Pteranodon,Medium,Beast,,Unaligned,1/4,50,mm 80
Riding Horse,Large,Beast,,Unaligned,1/4,50,mm 336
Rothe,Large,Beast,,Unaligned,1/4,50,vgm 207
Velociraptor,Tiny,Beast,,Unaligned,1/4,50,vgm 140
Wolf,Medium,Beast,,Unaligned,1/4,50,mm 341
Cockatrice,Small,Monstrosity,,Unaligned,1/2,100,mm 42
