name ,size ,type ,tags,alignment ,challenge ,xp,source 
Baboon,Small,Beast,,Unaligned,0,10,mm 318
Commoner,Medium,Humanoid,,Any,0,10,mm 344
Eagle,Small,Beast,,Unaligned,0,10,mm 322
Goat,Medium,Beast,,Unaligned,0,10,mm 330
Hyena,Medium,Beast,,Unaligned,0,10,mm 331
Raven,Tiny,Beast,,Unaligned,0,10,mm 335
Vulture,Medium,Beast,,Unaligned,0,10,mm 339
Bandit,Medium,Humanoid,,Any non-lawful,1/8,25,mm 343
Blood Hawk,Small,Beast,,Unaligned,1/8,25,mm 319
Boggle,Small,Fey,,CN,1/8,25,vgm 128
Giant Weasel,Medium,Beast,,Unaligned,1/8,25,mm 329
Guard,Medium,Humanoid,,,1/8,25,mm 347
Kobold,Small,Humanoid,kobold,LE,1/8,25,mm 195
Mastiff,Medium,Beast,,Unaligned,1/8,25,mm 332
Mule,Medium,Beast,,Unaligned,1/8,25,mm 333
Neogi Hatchling,Tiny,Aberration,,LE,1/8,25,vgm 179
Poisonous Snake,Tiny,Beast,,Unaligned,1/8,25,mm 334
Stirge,Tiny,Beast,,Unaligned,1/8,25,mm 284
Tribal Warrior,Medium,Humanoid,,,1/8,25,mm 350
Xvart,Small,Humanoid,xvart,CE,1/8,25,vgm 200
Axe Beak,Large,Beast,,Unaligned,1/4,50,mm 317
Boar,Medium,Beast,,Unaligned,1/4,50,mm 319
Elk,Large,Beast,,Unaligned,1/4,50,mm 322
Giant Owl,Large,Beast,,N,1/4,50,mm 327
Giant Wolf Spider,Medium,Beast,,Unaligned,1/4,50,mm 330
Gnoll Witherling,Medium,Undead,,CE,1/4,50,vgm 155
Goblin,Small,Humanoid,goblinoid,NE,1/4,50,mm 166
Kobold Inventor,Small,Humanoid,kobold,LE,1/4,50,vgm 166
Panther,Medium,Beast,,Unaligned,1/4,50,mm 333
Pseudodragon,Tiny,Dragon,,NG,1/4,50,mm 254
Swarm of Bats,Medium,Beast,,Unaligned,1/4,50,mm 337
Swarm of Ravens,Medium,Beast,,Unaligned,1/4,50,mm 339
Winged Kobold,Small,Humanoid,kobold,LE,1/4,50,mm 195
Wolf,Medium,Beast,,Unaligned,1/4,50,mm 341
Firenewt Warrior,Medium,Humanoid,firenewt,NE,1/2,100,vgm 142
Giant Goat,Large,Beast,,Unaligned,1/2,100,mm 326
Gnoll,Medium,Humanoid,gnoll,CE,1/2,100,mm 163
Gnoll Hunter,Medium,Humanoid,gnoll,CE,1/2,100,vgm 154
Hobgoblin,Medium,Humanoid,goblinoid,LE,1/2,100,mm 186
Orc,Medium,Humanoid,orc,CE,1/2,100,mm 246
Orc Nurtured One of Yurtrus,Medium,Humanoid,orc,CE,1/2,100,vgm 184
Scout,Medium,Humanoid,,,1/2,100,mm 349
Swarm of Insects,Medium,Beast,,Unaligned,1/2,100,mm 338
Worg,Large,Monstrosity,,NE,1/2,100,mm 341
Bronze Scout,Medium,Construct,,Unaligned,1,200,mtf 125
Brown Bear,Large,Beast,,Unaligned,1,200,mm 319
Deinonychus,Medium,Beast,,Unaligned,1,200,vgm 139
Dire Wolf,Large,Beast,,Unaligned,1,200,mm 321
Firenewt Warlock of Imix,Medium,Humanoid,firenewt,NE,1,200,vgm 143
Giant Eagle,Large,Beast,,NG,1,200,mm 324
Giant Hyena,Large,Beast,,Unaligned,1,200,mm 326
Giant Strider,Large,Monstrosity,,NE,1,200,vgm 143
Gnoll Flesh Gnawer,Medium,Humanoid,gnoll,CE,1,200,vgm 154
Goblin Boss,Small,Humanoid,goblinoid,NE,1,200,mm 166
Half-ogre,Large,Giant,,Any chaotic,1,200,mm 238
