name ,size ,type ,tags,alignment ,challenge ,xp,source 
Cranium Rat,Tiny,Beast,,LE,0,10,vgm 133
Giant Fire Beetle,Small,Beast,,Unaligned,0,10,mm 325
Myconid Sprout,Small,Plant,,LN,0,10,mm 230
Shrieker,Medium,Plant,,Unaligned,0,10,mm 138
Boggle,Small,Fey,,CN,1/8,25,vgm 128
Flumph,Small,Aberration,,LG,1/8,25,mm 135
Giant Rat,Small,Beast,,Unaligned,1/8,25,mm 327
Kobold,Small,Humanoid,kobold,LE,1/8,25,mm 195
Neogi Hatchling,Tiny,Aberration,,LE,1/8,25,vgm 179
Stirge,Tiny,Beast,,Unaligned,1/8,25,mm 284
Tribal Warrior,Medium,Humanoid,,,1/8,25,mm 350
Xvart,Small,Humanoid,xvart,CE,1/8,25,vgm 200
Young Kruthik,Small,Monstrosity,,Unaligned,1/8,25,mtf 211
Deep Rothe,Medium,Beast,,Unaligned,1/4,50,vgm 207
Derro,Small,Humanoid,derro,CE,1/4,50,mtf 158
Drow,Medium,Humanoid,elf,NE,1/4,50,mm 128
Giant Bat,Large,Beast,,Unaligned,1/4,50,mm 323
Giant Centipede,Small,Beast,,Unaligned,1/4,50,mm 323
Giant Lizard,Large,Beast,,Unaligned,1/4,50,mm 326
Giant Poisonous Snake,Medium,Beast,,Unaligned,1/4,50,mm 327
Goblin,Small,Humanoid,goblinoid,NE,1/4,50,mm 166
Grimlock,Medium,Humanoid,grimlock,NE,1/4,50,mm 175
Kobold Inventor,Small,Humanoid,kobold,LE,1/4,50,vgm 166
Kuo-toa,Medium,Humanoid,kuo-toa,NE,1/4,50,mm 199
Male Steeder,Medium,Monstrosity,,Unaligned,1/4,50,mtf 238
Oblex Spawn,Tiny,Ooze,,LE,1/4,50,mtf 217
Swarm of Bats,Medium,Beast,,Unaligned,1/4,50,mm 337
Troglodyte,Medium,Humanoid,troglodyte,CE,1/4,50,mm 290
Violet Fungus,Medium,Plant,,Unaligned,1/4,50,mm 138
Winged Kobold,Small,Humanoid,kobold,LE,1/4,50,mm 195
Wretched Sorrowsworn,Small,Monstrosity,,NE,1/4,50,mtf 233
Chitine,Small,Monstrosity,,CE,1/2,100,vgm 131
Darkling,Small,Fey,,CN,1/2,100,vgm 134
Darkmantle,Small,Monstrosity,,Unaligned,1/2,100,mm 46
Firenewt Warrior,Medium,Humanoid,firenewt,NE,1/2,100,vgm 142
Gas Spore,Large,Plant,,Unaligned,1/2,100,mm 138
Gazer,Tiny,Aberration,,NE,1/2,100,vgm 126
Gray Ooze,Medium,Ooze,,Unaligned,1/2,100,mm 243
Hobgoblin,Medium,Humanoid,goblinoid,LE,1/2,100,mm 186
Magma Mephit,Small,Elemental,,NE,1/2,100,mm 216
Myconid Adult,Medium,Plant,,LN,1/2,100,mm 232
Orc,Medium,Humanoid,orc,CE,1/2,100,mm 246
Orc Nurtured One of Yurtrus,Medium,Humanoid,orc,CE,1/2,100,vgm 184
Piercer,Medium,Monstrosity,,Unaligned,1/2,100,mm 252
Rust Monster,Medium,Monstrosity,,Unaligned,1/2,100,mm 262
Scout,Medium,Humanoid,,,1/2,100,mm 349
Shadow,Medium,Undead,,CE,1/2,100,mm 269
Skulk,Medium,Humanoid,,CN,1/2,100,mtf 227
Svirfneblin,Small,Humanoid,gnome,NG,1/2,100,mm 164
Swarm of Insects,Medium,Beast,,Unaligned,1/2,100,mm 338
Swarm of Rot Grubs,Medium,Beast,,Unaligned,1/2,100,vgm 208
Bugbear,Medium,Humanoid,goblinoid,CE,1,200,mm 33
Choker,Small,Aberration,,CE,1,200,mtf 123
Duergar,Medium,Humanoid,dwarf,LE,1,200,mm 122
Duergar Soulblade,Medium,Humanoid,dwarf,LE,1,200,mtf 190
Female Steeder,Large,Monstrosity,,Unaligned,1,200,mtf 238
Fire Snake,Medium,Elemental,,NE,1,200,mm 265
Firenewt Warlock of Imix,Medium,Humanoid,firenewt,NE,1,200,vgm 143
Ghoul,Medium,Undead,,CE,1,200,mm 148
