name ,size ,type ,tags,alignment ,challenge ,xp,source 
Cat,Tiny,Beast,,Unaligned,0,10,mm 320
Commoner,Medium,Humanoid,,Any,0,10,mm 344
Cranium Rat,Tiny,Beast,,LE,0,10,vgm 133
Goat,Medium,Beast,,Unaligned,0,10,mm 330
Rat,Tiny,Beast,,Unaligned,0,10,mm 335
Raven,Tiny,Beast,,Unaligned,0,10,mm 335
Bandit,Medium,Humanoid,,Any non-lawful,1/8,25,mm 343
Boggle,Small,Fey,,CN,1/8,25,vgm 128
Cultist,Medium,Humanoid,,Any non-good,1/8,25,mm 345
Flying Snake,Tiny,Beast,,Unaligned,1/8,25,mm 322
Giant Rat,Small,Beast,,Unaligned,1/8,25,mm 327
Guard,Medium,Humanoid,,,1/8,25,mm 347
Kobold,Small,Humanoid,kobold,LE,1/8,25,mm 195
Mastiff,Medium,Beast,,Unaligned,1/8,25,mm 332
Mule,Medium,Beast,,Unaligned,1/8,25,mm 333
Noble,Medium,Humanoid,,,1/8,25,mm 348
Pony,Medium,Beast,,Unaligned,1/8,25,mm 335
Stirge,Tiny,Beast,,Unaligned,1/8,25,mm 284
Acolyte,Medium,Humanoid,,Any,1/4,50,mm 342
Draft Horse,Large,Beast,,Unaligned,1/4,50,mm 321
Giant Centipede,Small,Beast,,Unaligned,1/4,50,mm 323
Giant Poisonous Snake,Medium,Beast,,Unaligned,1/4,50,mm 327
Kenku,Medium,Humanoid,kenku,CN,1/4,50,mm 194
Kobold Inventor,Small,Humanoid,kobold,LE,1/4,50,vgm 166
Oblex Spawn,Tiny,Ooze,,LE,1/4,50,mtf 217
Ox,Large,Beast,,Unaligned,1/4,50,vgm 207
Pseudodragon,Tiny,Dragon,,NG,1/4,50,mm 254
Riding Horse,Large,Beast,,Unaligned,1/4,50,mm 336
Skeleton,Medium,Undead,,LE,1/4,50,mm 272
Smoke Mephit,Small,Elemental,,NE,1/4,50,mm 217
Swarm of Bats,Medium,Beast,,Unaligned,1/4,50,mm 337
